commodity,specification,price,date_updated
Imported Commercial Rice - Basmati Rice,,170.0,2026-03-01
Imported Commercial Rice - Glutinous Rice,,63.43,2026-03-01
Imported Commercial Rice - Jasponica/Japonica Rice,,62.67,2026-03-01
Imported Commercial Rice - Other Special Rice,,61.0,2026-03-01
Imported Commercial Rice - Premium,,56.8,2026-03-01
Imported Commercial Rice - Well Milled,,47.25,2026-03-01
Imported Commercial Rice - Regular Milled,,41.25,2026-03-01
Local Commercial Rice - Glutinous Rice,,78.75,2026-03-01
Local Commercial Rice - Other Special Rice,,59.6,2026-03-01
Local Commercial Rice - Premium,,52.18,2026-03-01
Local Commercial Rice - Well Milled,,45.71,2026-03-01
Local Commercial Rice - Regular Milled,,41.0,2026-03-01
Corn (White),,90.0,2026-03-01
Corn (Yellow),,77.73,2026-03-01
Mungbean,,132.0,2026-03-01
Alumahan (Indian Mackerel),,340.0,2026-03-01
"Bangus, Large",,261.0,2026-03-01
"Bangus, Medium",Medium (3-4 pcs/kg),240.91,2026-03-01
"Galunggong, Local","Male, Medium (12-14 pcs/kg)",320.0,2026-03-01
"Galunggong, Imported","Male, Medium (12-14 pcs/kg)",310.0,2026-03-01
"Pampano, Imported",,409.0,2026-03-01
"Salmon Belly, Imported",,421.43,2026-03-01
"Salmon Head, Imported",,231.0,2026-03-01
Sardines (Tamban),,130.0,2026-03-01
"Squid (Pusit Bisaya), Local",Medium,484.44,2026-03-01
"Squid, Imported",,220.0,2026-03-01
"Tambakol (Yellow-Fin Tuna),
Local","Medium, Fresh or Chilled",330.0,2026-03-01
Tilapia,Medium (5-6 pcs/kg),157.27,2026-03-01
"Beef Brisket, Local",Meat with Bones,429.09,2026-03-01
"Beef Brisket, Imported",,380.0,2026-03-01
"Beef Chuck, Local",,408.33,2026-03-01
"Beef Forequarter, Local",,497.5,2026-03-01
"Beef Fore Limb, Local",,470.0,2026-03-01
"Beef Flank, Local",,433.0,2026-03-01
"Beef Loin, Local",,610.0,2026-03-01
"Beef Plate, Local",,400.0,2026-03-01
"Beef Rib Eye, Local",,440.0,2026-03-01
"Beef Rib Set, Local",,414.29,2026-03-01
"Beef Rump, Local",Lean Meat/ Tapadera,477.73,2026-03-01
"Beef Short Ribs, Local",,425.0,2026-03-01
"Beef Sirloin, Local",,480.63,2026-03-01
"Beef Striploin, Local",,469.0,2026-03-01
"Beef Tenderloin, Local",,698.0,2026-03-01
"Beef Tongue, Local",,450.0,2026-03-01
"Pork Belly (Liempo), Local",,378.18,2026-03-01
"Pork Belly (Liempo), Imported",,311.43,2026-03-01
"Pork Boston Shoulder, Local",,363.33,2026-03-01
"Pork Chop, Local",,327.73,2026-03-01
"Pork Chop, Imported",,246.67,2026-03-01
"Pork Fore Shank, Local",,312.86,2026-03-01
"Pork Fore Shank, Imported",,190.0,2026-03-01
"Pork Head, Local",,240.0,2026-03-01
"Pork Hind Leg (Pigue), Local",,327.73,2026-03-01
"Pork Hind Leg (Pigue), Imported",,250.0,2026-03-01
"Pork Hind Shank, Local",,320.0,2026-03-01
"Pork Hind Shank, Imported",,220.0,2026-03-01
"Pork Loin, Local",,386.67,2026-03-01
"Pork Loin, Imported",,275.0,2026-03-01
"Pork Offals, Local",,256.67,2026-03-01
"Pork Offals, Imported",,130.0,2026-03-01
"Pork Picnic Shoulder (Kasim),
Local",,323.64,2026-03-01
"Pork Picnic Shoulder (Kasim),
Imported",,252.86,2026-03-01
"Pork Rind/Skin, Local",,100.0,2026-03-01
"Pork Spare Ribs, Local",,326.82,2026-03-01
"Pork Spare Ribs, Imported",,240.0,2026-03-01
"Carabeef Meat, Local",,360.0,2026-03-01
"Carabeef Rump Steak, Local",,360.0,2026-03-01
"Chicken Breast, Local",,215.71,2026-03-01
"Chicken Breast, Local",,220.0,2026-03-01
"Chicken Breast, Local",,206.67,2026-03-01
"Chicken Drumstick, Local",,218.57,2026-03-01
"Chicken Drumstick, Local",,220.0,2026-03-01
"Chicken Drumstick, Local","Unbranded, Fresh",216.11,2026-03-01
"Chicken Feet, Local",,147.78,2026-03-01
Chicken Leg Quarter,Magnolia,218.57,2026-03-01
Chicken Leg Quarter,Bounty Fresh,220.0,2026-03-01
Chicken Leg Quarter,"Unbranded, Fresh",208.89,2026-03-01
"Chicken Leg Quarter, Imported",,160.0,2026-03-01
"Chicken Liver, Local",,234.0,2026-03-01
"Chicken Neck, Local",,142.0,2026-03-01
"Chicken Rind/Skin, Local",,155.0,2026-03-01
"Chicken Thigh, Local",,215.71,2026-03-01
"Chicken Wing, Local",Magnolia,215.0,2026-03-01
"Chicken Wing, Local",Bounty Fresh,220.0,2026-03-01
"Chicken Wing, Local","Unbranded, Fresh",213.75,2026-03-01
"Whole Chicken, Local",Magnolia,205.63,2026-03-01
"Whole Chicken, Local",Bounty Fresh,200.0,2026-03-01
"Whole Chicken, Local",Fully Dressed,197.73,2026-03-01
"Chicken Egg (White, Medium)",56-60 grams/pc,8.25,2026-03-01
Ampalaya,4-5 pcs/kg,125.91,2026-03-01
"Chilli (Green), Local",Haba/Panigang,102.73,2026-03-01
Eggplant,3-4 Small Bundles,74.09,2026-03-01
Native Pechay,3-4 Small Bundles,71.82,2026-03-01
Pole Sitao,3-4 Small Bundles,133.64,2026-03-01
Squash,Suprema Variety,65.45,2026-03-01
Tomato,15-18 pcs/kg,59.55,2026-03-01
"Bell Pepper (Green), Local",Medium (151-250gm/pc),235.71,2026-03-01
"Bell Pepper (Red), Local",Medium (151-250gm/pc),244.55,2026-03-01
"Broccoli, Local","Medium (8-10 cm
diameter/bunch hd)",180.0,2026-03-01
"Broccoli, Imported",,208.75,2026-03-01
"Cauliflower, Local","Medium (8-10 cm
diameter/bunch hd)",110.0,2026-03-01
Cabbage (Rare Ball),510 gm - 1 kg/head,76.0,2026-03-01
Cabbage (Scorpio),750 gm - 1 kg/head,100.0,2026-03-01
Cabbage (Wonder Ball),510 gm - 1 kg/head,79.17,2026-03-01
"Carrots, Local",8-10 pcs/kg,123.64,2026-03-01
"Carrots, Imported",,120.0,2026-03-01
Celery,Medium (501-800 g),181.11,2026-03-01
Chayote,Medium (301-400 g),55.45,2026-03-01
"Habichuelas/Baguio Beans, Local",,120.91,2026-03-01
Pechay Baguio,,81.36,2026-03-01
Lettuce (Green Ice),,187.5,2026-03-01
Lettuce (Iceberg),"Medium (301-450 cm
diameter/bunch hd)",280.0,2026-03-01
Lettuce (Romaine),,202.0,2026-03-01
"White Potato, Local",10-12 pcs/kg,103.18,2026-03-01
"Chilli (Red), Local",,190.0,2026-03-01
"Garlic, Native/Local",,400.0,2026-03-01
"Garlic, Imported",,153.64,2026-03-01
"Ginger, Local",,156.0,2026-03-01
"Ginger, Imported",,180.0,2026-03-01
"Red Onion, Local",,117.27,2026-03-01
"Red Onion, Imported",,106.67,2026-03-01
"Red Onion, Imported",,75.0,2026-03-01
"White Onion, Local",,94.0,2026-03-01
"White Onion, Imported",,108.33,2026-03-01
"White Onion, Imported",,104.17,2026-03-01
Avocado,,282.5,2026-03-01
Banana (Lakatan),,100.45,2026-03-01
Banana (Latundan),,74.3,2026-03-01
Banana (Saba),,52.73,2026-03-01
Calamansi,,132.73,2026-03-01
Mango (Carabao),,191.0,2026-03-01
Melon,,100.0,2026-03-01
Papaya,,74.29,2026-03-01
Pomelo,,190.0,2026-03-01
Watermelon,,86.11,2026-03-01
Salt (Rock),,20.9,2026-03-01
Salt (Iodized),,42.63,2026-03-01
Sugar (Refined),,79.27,2026-03-01
Sugar (Washed),,72.09,2026-03-01
Sugar (Brown),,72.45,2026-03-01
Cooking Oil (Palm),350 ml/bottle,35.8,2026-03-01
Cooking Oil (Palm),1 Liter/bottle,92.73,2026-03-01
Cooking Oil (Coconut),350 ml/bottle,59.0,2026-03-01
Cooking Oil (Coconut),1 Liter/bottle,162.5,2026-03-01
Cooking Oil (Spring),"1,000 ml/bottle",142.0,2026-03-01
"Cooking Oil (Palm Olein, Jolly
Brand)","1,000 ml/bottle",150.0,2026-03-01
